Reference,Quantity,Value,MPN,Footprint,Side,Datasheet,Notes
J3,1,GODIYMODULES SD,PPTC061LFBN-RC,KK_Main:Sullins_PPTC061_LFB,front,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf,SD module B0F82XWT4F is a separate assembly item
J4,1,LCM0827A3038F motor,S2B-PH-K-S(LF)(SN),KK_Main:JST_PH_S2B_2,back,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,
J5,1,8 ohm speaker,S2B-PH-K-S(LF)(SN),KK_Main:JST_PH_S2B_2,back,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,
MOD1,1,ESP32-S3 SuperMini,Teyleten B0D47HBFDY,KK_Main:ESP32-S3-SuperMini,front,https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf,Carrier pad numbering/voltage path requires delivered-module qualification
Q1,1,KSP2222ABU,KSP2222ABU,KK_Main:TO92_LeadFormed_P2p54,back,https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf,
Q2,1,KSP2222ABU,KSP2222ABU,KK_Main:TO92_LeadFormed_P2p54,back,https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf,
Q3,1,BC32725BU,BC32725BU,KK_Main:TO92_LeadFormed_P2p54,back,https://www.onsemi.com/pub/Collateral/BC327-D.PDF,
Q4,1,TN0702N3-G,TN0702N3-G,KK_Main:TO92_LeadFormed_P2p54,back,https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf,
Q5,1,TN0702N3-G,TN0702N3-G,KK_Main:TO92_LeadFormed_P2p54,back,https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf,"C.2: NMOS gate driver, S-G-D pins 1-2-3."
Q6,1,LP0701N3-G,LP0701N3-G,KK_Main:TO92_LeadFormed_P2p54,back,https://ww1.microchip.com/downloads/en/DeviceDoc/LP0701-P-Channel-Enhancement-Mode-Lateral-MOSFET-Data-Sheet-20005447A.pdf,C.2: PMOS S-G-D pins 1-2-3. Do not fit former BC327 here.
R1,1,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R2,1,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R3,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R4,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R5,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R6,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R7,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R8,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R9,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R10,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R11,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R12,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R13,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R14,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R15,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R16,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R17,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R18,1,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R19,1,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R20,1,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R21,1,220,MFR-25FBF52-220R,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R22,1,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,
R23,1,100,MFR-25FBF52-100R,KK_Main:MFR25_10p16,back,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Bring-up current limit; bright-screen qualification required
